question_text,answer_text
Explain key concepts from ICT_LM_FINAL_SECTION_5-LV - Page 1,"1
PHYSICAL SAFETY 
HARZARDS IN THE USE OF 
COMPUTERS- CAUSES AND 
PREVENTIVE MEASURES
Year 1Information Communication Technology
SECTION  
5"
Explain key concepts from ICT_LM_FINAL_SECTION_5-LV - Page 2,"2
PHYSICAL SAFETY HARZARDS IN THE USE OF COMPUTERS- CAUSES AND PREVENTIVE MEASURESSECTION5
NETWORK SYSTEMS FOR TRANSMITTING 
INFORMATION 
Computer and Information Security
Introduction 
In today’s digital age, our computers are our constant friends, whether we are working, 
studying, or streaming online for entertaining videos or information. 
Spending long hours at your desk can hurt more than just your productivity. It can also 
lead to back pain and other health related issues.
This section is design to equip you with all that you need to know to stay safe when 
using your computer and other digital tools
From the gradual backaches and neck pains to the eye strain that creeps up after too 
much screen time, the physical risks of computer use are all too real. It’s not just about 
having a comfy chair; it’s about creating a workspace that keeps you healthy and happy.
This section also explores the risks to personal safety linked to the use of computers, 
mainly from electrocution, fire, trips and falls, and personal injuries. Personal injuries 
covered include MSDs, eye strain, headaches and vertigo. The causes of these risks are 
studied, as well as how the risks can be mitigated. Risks of personal injuries can develop 
from sleep deprivation and mental illness, linked to the use of digital technology, so 
these topics are included.
Come along, as we explore how to protect yourself from these hidden hazards and turn 
your computer time into a safer and more enjoyable experience.
At the end of this section, you will be able to:
• Discuss the Causes of Physical Safety Risks of computer equipment 
• Apply preventive measures on physical safety risks (including an increase in the number 
of wall sockets and not using too many extensions blocks
• Discuss Physical Safety Risks (Electrocution, Fire hazard, Tripping hazard, Personal 
injury) in the use of computer
Key Ideas: 
• Computer Safety Hazards: These are health problems that computers and other digital 
devices pose to computer users."
Explain key concepts from ICT_LM_FINAL_SECTION_5-LV - Page 3,"3
PHYSICAL SAFETY HARZARDS IN THE USE OF COMPUTERS- CAUSES AND PREVENTIVE MEASURESSECTION5
• Musculoskeletal Disorders (MSDs): are disorder problems that affect your muscles, 
bones, joints, and the tissues around them
• Repetitive Strain Injury (RSI):  refers to a range of conditions caused by repetitive 
motion or overuse of a specific part of the body. 
• Headaches and Vertigo can be significant issues for individuals who spend extended 
periods working with computers. Both can stem from a range of causes related to 
computer use.
• Vision and Hearing Problems from Using Computers: Using computers for 
extended periods can lead to both vision and hearing problems. 
• Sleep Disorder and Weight Problems: Extended screen time before bed can result in 
poor sleep which can also lead to weight problems.
• Depression and Anxiety: Depression makes you feel persistently sad and uninterested 
in life, while anxiety makes you feel constantly worried or fearful. Both conditions can 
be a health hazard from using a computer.
• Trips and Falls  are two related hazards that people are exposed to in environments 
where electrical (including signal) cables and electronic devices are installed.
• Electrocution and Fire Risks: Electrocution occurs when a person comes into contact 
with an electrical source and becomes part of the electrical circuit, leading to electric 
shock and potential injury or death. Faulty computer equipment, sockets, and cables can 
spark an electric fire in an office or building.
Introduction to Physical Safety Risks When 
Using Computers.
Electronic devices such as laptops, smartphones, tablets and game consoles have 
become an integral part of our daily lives. As a result, we spend so much time looking 
at these devices. Though these devices provide us with much convenience, there are 
certain hazards these devices come along with.
As a learner, who loves to spend much time (screen time) on your laptop or smartphone 
either surfing the internet or entertaining yourself with computer games, you should 
be aware of these hazards.
Now, take this activity to come out with some possible risk you might be subjecting 
yourself to as a computer user.
Activity 5.1: Searching for possible safety risks in the use of computers.
1. Open any web browser of your choice and navigate to your search engine of 
choice
2. Type “possible physical safety risks in the use of computers”"
Explain key concepts from ICT_LM_FINAL_SECTION_5-LV - Page 4,"4
PHYSICAL SAFETY HARZARDS IN THE USE OF COMPUTERS- CAUSES AND PREVENTIVE MEASURESSECTION5
3. Click on any hyperlink to display content of your search results (if the content 
does not reflect a good understanding of desired searched result, go back and 
select another hyperlink).
4. Make a list of possible physical safety hazards in the use of computers from 
your search result in your writing material.
5. Present and discuss your findings to your peers. 
Now that you have been able to identify some possible physical safety risks in 
the use of computers, we will discuss two of these safety risks in this lesson: 
musculoskeletal disorders and repetitive strain injury (RSI) when using computers.
Musculoskeletal Disorders (MSDs) 
Before we proceed, let us look at what the term “musculoskeletal” means.
Musculoskeletal is formed from two words which are muscles and skeletons. Muscles 
are the soft tissue that contract to move bones and maintain posture while skeletons are 
the bones that provide framework and support for the body. The term Musculoskeletal 
therefore refers to the system of muscles, bones, and connective tissues that work 
together to support and move the body. When these muscles and skeletons are unable 
to function properly, then we can say there is a disorder. 
Musculoskeletal Disorders are therefore disorder problems that affect your muscles, 
bones, joints, and the tissues around them. These problems can make it hard to move 
or cause pain and discomfort. Common examples include back pain, arthritis, and 
repetitive strain injuries like carpal tunnel syndrome. Using a computer for a long time 
can lead to musculoskeletal problems because of how we sit and move while working.
Causes of Musculoskeletal Disorders (MSDs)
• Poor posture: If you sit in an awkward position, it can strain your back, neck, and 
shoulders.
• Repetitive tasks: Doing the same motions over and over, such as typing or using a 
mouse can lead to pain or discomfort in your wrists, hands, and fingers. Using one 
part of your body too much without giving it a break can equally result in muscles, 
bones and joints problems
• Improper desk setup : If your chair, keyboard, or monitor is not positioned 
correctly, you might have to stretch, which can cause muscle and joint issues.
• Lack of movement: Sitting or standing for long periods without moving can lead 
to stiffness and pain in your back and legs. This can equally result in bone and 
muscles stains and pains causing musculoskeletal problems.
• Improper ergonomics: This is when your workspace or device is not set up to fit 
your body well. This can cause discomfort, pain, and long-term health issues."
Explain key concepts from ICT_LM_FINAL_SECTION_5-LV - Page 5,"5
PHYSICAL SAFETY HARZARDS IN THE USE OF COMPUTERS- CAUSES AND PREVENTIVE MEASURESSECTION5
Preventive Measures for Musculoskeletal Problems from using 
computers
Now that you have been introduced to some of the causes of musculoskeletal disorders 
with regards to using computers and other computing devices, let us look at what you 
need to do to stay safe from these disorders when using your computing devices by 
taking this activity.
Activity 5.2: Preventive Measures for Musculoskeletal Problems
Follow these instructions to ensure you are prevented from developing 
musculoskeletal problems when using a computer at school and at home.
Instructions
1. Follow these steps to ensure proper ergonomics to prevent musculoskeletal 
problems.
Steps:
a. Sit in your chair and adjust the height so that your feet are flat on the 
floor and your knees are at or just below hip level. 
b. Adjust the backrest to support your lower back.
c. Ensure your desk is at a height where your elbows are bent at a 90-degree 
angle when typing. 
d. Position your monitor so the top of the screen is at or slightly below eye 
level and about an arm’s length away.
e. Place your keyboard and mouse within easy reach. (Your wrists should 
be straight and not bent up or down while typing.)
2. Sit with your back against the chair, shoulders relaxed and feet flat on the 
floor. Avoid leaning forward.
3. Position your screen well so you don’t need to tilt your head up or down to see 
it comfortably.
4. Stretch and move your neck, wrist, legs and roll your shoulder forward and 
backward for a few seconds by following these steps. (It helps reduce tension 
in your neck, wrist and shoulders)
a. Neck Stretch: Tilt your head towards one shoulder, hold for 15 seconds, 
then switch sides. This helps reduce neck strain.
b. Shoulder Rolls: Roll your shoulders forward and backward for 30 seconds 
each. This helps relieve shoulder tension.
c. Wrist Stretch: Extend one arm out, palm up, and gently pull back on your 
fingers with the other hand. Hold for 15 seconds on each side to stretch 
your wrists."
Explain key concepts from ICT_LM_FINAL_SECTION_5-LV - Page 6,"6
PHYSICAL SAFETY HARZARDS IN THE USE OF COMPUTERS- CAUSES AND PREVENTIVE MEASURESSECTION5
d. Leg Stretch: While seated, extend one leg out straight and hold for 15 
seconds, then switch legs. This improves circulation in your legs.
5. Use a timer or reminder to take breaks every 30-60 minutes. Stand up, stretch, 
or walk around to keep your body active and prevent stiffness.
6. Now copy and complete Table 5.1 for causes and preventive measures of 
musculoskeletal problems on your cardboard and paste it in your classroom.
Table 5. 1: Causes and Preventive Measures of Musculoskeletal Disorders
Causes Prevention
1 Poor Posture Adjust Your Workspace: Set up your chair, desk, and 
monitor to support good posture and sit with your 
back against the chair, shoulders relaxed, and feet flat 
on the floor. Avoid leaning forward
2
3
4
5
6
Figure 5.1: Proper Ergonomic Workstation"
Explain key concepts from ICT_LM_FINAL_SECTION_5-LV - Page 7,"7
PHYSICAL SAFETY HARZARDS IN THE USE OF COMPUTERS- CAUSES AND PREVENTIVE MEASURESSECTION5
Repetitive Strain Injury (RSI) 
Repetitive strain injury (RSI) happens when you do the same movement over and over 
again. Particularly like typing, using a mouse or using a game console. RSIs can affect 
various body parts, including fingers, thumbs, wrists, elbows, neck, back and arms. 
This can lead to pain or discomfort in the affected part of your body. Repetitive strain 
injury (RSI) is a subset of musculoskeletal disorder as mentioned earlier. 
Activity 5.3: Causes And Preventive Measures for Repetitive Strain Injury
Steps:
1. Study figure 5.2 below carefully
Figure 5.2: Causes of Repetitive Strain Injury
2. Write possible Repetitive Strain Injury problem in each situation in figure 5.2.
3. Write what could be done to prevent the problem in each situation in figure 
5.2
4. After going through instructions 2 and 3, write your own definition of 
Repetitive Strain Injury.
5. Prepare a PowerPoint presentation that outlines the causes and preventive 
measures for RSI
6. In the presentation, list at least five causes of RSI and actions that can prevent 
it when working with a computer.
7. Present your work for peer review."
Explain key concepts from ICT_LM_FINAL_SECTION_5-LV - Page 8,"8
PHYSICAL SAFETY HARZARDS IN THE USE OF COMPUTERS- CAUSES AND PREVENTIVE MEASURESSECTION5
8. Compare your findings with Table 5.2.
Table 5.2: Causes and Preventive measures for Repetitive Strain Injury
Causes Prevention
Repetitive Movements Take Regular Breaks: Take a 1–2 minute break to stretch and 
move in every 30-60 minutes.
Poor Posture Adjust Your Workspace: Set up your chair, desk, and monitor 
to support good posture.
Incorrect Ergonomics Choose an ergonomic keyboard and mouse and other 
Ergonomic Equipment.
Prolonged Computer Use Incorporate Movement when using computers. You could 
stand, stretch, or walk around regularly.
Poor Desk and Chair Setup Ensure your feet are flat on the floor and your elbows are at a 
90-degree angle.
Incorrect Keyboard and 
Mouse Position
Position your keyboard and mouse close so your wrists are 
straight, and your hands are comfortable.
Lack of Proper Stretching Perform Stretching Exercises. Regularly stretch your wrists, 
hands, and shoulders.
Typing with Excessive Force Type Gently: Avoid pounding on the keyboard; use light, 
relaxed keystrokes.
Vision Problems
Symptoms, Causes and Preventive Measures of Vision Problems, Hearing Loss, 
Headaches and Vertigo from Using Computers.
Previously, we looked at some possible physical safety risks in the use of computers 
and discussed causes and preventions of Musculoskeletal Disorder (MSDs) and 
Repetitive Strain Injury (RSI). In this lesson, we will take a look at symptoms, causes 
and preventive measures of the following physical safety risks in the use of computers:
• Vision problems 
• Headaches and vertigo
• Hearing loss 
Now, take this activity to explore your understanding of these computer related health 
risks"
Explain key concepts from ICT_LM_FINAL_SECTION_5-LV - Page 9,"9
PHYSICAL SAFETY HARZARDS IN THE USE OF COMPUTERS- CAUSES AND PREVENTIVE MEASURESSECTION5
Activity 5.4: Finding Possible Causes of Headaches, Hearing Loss And Vi -
sion Problems
Steps:
1. Write five or more possible causes of headaches, hearing loss and vision 
problems that we can face in our everyday life.
Out of the causes written in step 1, mark out those that relate to computer 
usage.
2. Discuss with your peers causes of headaches, hearing loss and vision problems 
in using computers from step 2 for better understanding.
3. Put your findings into a table after the discussion using an A3 sheet and paste 
it in the classroom.
Having completed these steps, you have gained the understanding that headaches, 
vision problems as well as hearing difficulties can be as a result of improper use 
of computers and other digital devices in our daily lives. Now let us probe further 
into these health risks, their symptoms, and how to prevent them from happening 
to us since computers and digital tools have come to stay with us.
Vision Problems Associated with Computer 
Usage
Eyes Strain
Eye strain, or digital eye strain, happens when your eyes get tired from focusing on 
something for a long time, especially screens of computers, phones, or tablets. Working 
for long periods on the computer can strain your eyes or worsen existing eye conditions. 
Symptoms include eye discomfort, headaches, itchy eyes and difficulty focusing. – see 
Figure 5.3.
Figure 5.3: Common Symptoms of Eye Strain"
Explain key concepts from ICT_LM_FINAL_SECTION_5-LV - Page 10,"10
PHYSICAL SAFETY HARZARDS IN THE USE OF COMPUTERS- CAUSES AND PREVENTIVE MEASURESSECTION5
In most cases, eye strain is temporary and tends to resolve within a few hours or days 
once the triggering activities, such as prolonged screen use or reading in poor lighting, 
are reduced or eliminated.
Causes of Eye Strain Associated with Computer Usage
Eye strain from computer use, also known as Computer vision syndrome (CVS), can 
occur due to several factors. These are:
1. Poor lighting: Working in an area with too much or too little light, or with glare 
from windows or screens, can cause your eyes to strain as they adjust to the 
brightness contrast.
2. Prolonged Screen Time: Staring at a screen for long periods without breaks can 
tire the eye muscles, leading to discomfort.
3. Incorrect Viewing Distance or Angle : Sitting too close or too far from the 
screen, or positioning the monitor too high or low, can cause eye strain as your eyes 
constantly refocus.
4. Reduced Blinking: People tend to blink less when focusing on a screen, which can 
lead to dry eyes, irritation, and fatigue. 
5. Blue light Exposure: Screens emit blue light, which can interfere with your sleep 
cycle and contribute to discomfort after long hours of exposure.
6. Screen Glare and Reflection : Reflections on the screen can make it difficult to 
see the content clearly, causing your eyes to work harder.
Preventive Measures to Avoid Eye Strain
1. Take frequent breaks from computer work. Employ the 20-20-20 rule: Every 20 
minutes, take a 20-second break to look at something 20 feet (6 metres) away.
2. Ensure your main light source (such as a window) is not shining into your face or 
directly onto the computer screen.
3. Tilt the screen slightly to avoid reflections or glare. Use an anti-glare screen or 
glasses.
4. Make sure the screen is not too close to your face.
5. Put the screen either at eye level or slightly lower.
6. Reduce the contrast and brightness of your screen by adjusting the controls.
7. Frequently look away from the screen and focus on far away objects.
8. Have regular eye examinations to check that any underlying disorders do not cause 
any blurring, headaches or other associated problems."
