question_text,answer_text
Explain key concepts from ICT_LM_FINAL_SECTION_1_LV - Page 1,"1
MULTIMEDIA TOOLS 
AND APPLICATIONS
SECTION  
1
Year 1Information Communication Technology"
Explain key concepts from ICT_LM_FINAL_SECTION_1_LV - Page 2,"1
MULTIMEDIA TOOLS AND APPLICATIONSSECTION 1
ICTs IN THE SOCIETY
Organising, Managing and Presenting Information Using 
Essential Productivity Tools
INTRODUCTION
In our modern world, computers are everywhere, even in places you might not expect! 
Some are more obvious, such as laptops and desktop computers. Others are obviously 
electronic, but you might not have thought of them as ‘computers,’ like smart phones, 
TVs, and video game consoles. Some are completely hidden from view to the point 
where you might not even know they’re there at all!
In today’s technological world, computers are integral to our daily lives, popping up 
in surprising places beyond the usual laptops and desktops— like the smartphones, 
game consoles, combine harvesters and even in cars! From guiding you with GPS to 
controlling airbags and playing music. Computers are almost everywhere but not all 
computers are built for the same tasks; you certainly cannot write an essay with the 
computer the DJ uses for mixing music.
In this section you will explore what computers are, focusing on their hardware and 
software components. You will also learn about word processing applications, which 
are necessary for creating documents like the book you are reading now. Again, you 
will study about how to use these document creation tools effectively to produce, edit, 
and format text, helping you create professional-looking documents. Understanding 
these basics is key to navigating the digital world efficiently, enhancing both your 
academic and personal life.
Stay curious, ask questions and gain the experience.
At the end of this section, you should be able to:
•  Describe software, hardware, and other computing features needed to create a document.
•  Create, Edit and Format text and paragraphs (Cut, Copy, Bold, Italic, Tables, Find and 
Replace, Format Painter, Spelling & Grammar check, Styles) using desktop/online 
computing tools (word processing software e.g., MS Word, Google Docs) keyboard, 
mouse etc.
•  Save and print documents (Save, Save As, Print)
•  Format the overall appearance of a page through colours, watermarks, headers and 
footers, page layout, paragraph and line, change capitalisation, bordering and shading,"
Explain key concepts from ICT_LM_FINAL_SECTION_1_LV - Page 3,"2
MULTIMEDIA TOOLS AND APPLICATIONSSECTION 1
perform bullets and numbering, do page column, tables, graphics) using desktop/online 
computing tools (word processing software e.g., MS Word, Google Docs) keyboard, 
mouse etc.
•  Create multimedia documents using appropriate computing tools.
Key Ideas
•  Computer Hardware: This is the physical part of a computer that you can see and 
touch, like the keyboard, screen, and mouse. Hardware needs software to work.
•  Software: These are the programs and instructions that tell the computer hardware 
what to do.
•  Types of Software:  Software is divided into two main types: system software and 
application software.
•  Using Word Processing Applications:  These applications let you create, edit, and 
change the look of text and paragraphs using various tools.
•  Formatting Tools: Tools like bold, italic, underlining, adding tables, and checking 
spelling are used to enhance and organise text in a document.
•  Document Layout:  Adjusting the layout involves setting up the overall look of the 
page, including borders, shading, and breaks to make the document organised.
•  Pagination and Layout:  Settings for headers, footers, paragraph alignment, and 
spacing help organise where text appears on the page.
•  A list is a series of items presented in a structured way using bullets or numbers.
•  Bulleted lists, numbered,  and multilevel lists are different types of listing used in 
MS Word.
•  Presentation software  is a computer program that is used to present information, 
normally in the form of a slideshow.
•  There are three main functions of a presentation software, which are: an editor that 
allows text to be inserted and formatted, a method for inserting and manipulating 
multimedia (graphic images, video and sound) and a slideshow system to display the 
content, usually with the facility to add animations and transitions.
•  Some examples of presentation software are Microsoft PowerPoint (part of the Office 
suite) and Apple Keynote.
What is a computer?
A computer is an electronic device that can be programmed to automatically carry out 
sequence of instructions such as arithmetic or logical operations. It can store, retrieve 
and manipulate data based on instructions given to it called programs.
The most general definition of ‘computer’ is simply: ‘something that computes,’ 
i.e. something that performs mathematical calculations. That’s very broad! By this 
definition, doing maths homework makes you a computer. In fact, the word ‘computer’"
Explain key concepts from ICT_LM_FINAL_SECTION_1_LV - Page 4,"3
MULTIMEDIA TOOLS AND APPLICATIONSSECTION 1
was derived from the Latin term ‘computare’ and back in the 1700s a ‘computer’ was 
used to refer to a person who did calculations.
A more instructive, but still general, definition of ‘computer’ is ‘something which 
processes inputs to produce outputs. When you do maths homework, you take in the 
questions as input and produce answers to the questions as output, The ‘processing’ is 
how you work out the answers, e.g. you use techniques you’ve learned and write down 
intermediate results on paper. We can write some more examples in a table like this:
Example of 
computer
Input Processing Output
You, doing maths 
homework
Maths questions Using previous 
knowledge and 
techniques you’ve 
learned. Writing 
intermediate results 
on paper.
Answers to the 
maths questions 
(hopefully the 
correct answers but 
not necessarily!)
Your brain (a 
biological computer)
Your senses 
(vision, hearing, 
smell etc.)
Complex biological 
processes involving 
billions of 
interconnected 
neurons sending 
electrical signals to 
each other.
Electrical signals 
sent to your muscles 
telling them how to 
move (among many 
other things)
Airbag controller Sensors which 
measure the 
strength of 
impacts on the 
car
A ‘microcontroller’ 
(i.e. a small, 
specialised 
computer) which 
reads the data 
coming from the 
sensors and decides 
whether an impact 
is strong enough to 
need the airbags
A signal to the 
airbags telling them 
whether to inflate or 
not
Table 1.1
Activity 1.1
Think of what computers are used for in your everyday life. Write as many 
examples as you can! Then, share your findings with colleagues."
Explain key concepts from ICT_LM_FINAL_SECTION_1_LV - Page 5,"4
MULTIMEDIA TOOLS AND APPLICATIONSSECTION 1
WHAT IS ICT?
We’ve looked at a lot of different kinds of computer, but ICT only deals with a particular 
subgroup of computers. Which subgroup? The clue is in the name ICT: Information 
Communication Technology.
Information
We are focused on computers which input, process, and output information. Information 
can be approximately defined as ‘meaningful facts and figures’ . For example, ‘Mary is 
150cm tall’ is information. A class register also contains information, it tells us who is 
in the class and their attendance. Photographs contain a lot of information about what 
the world looked like at the exact moment a photograph was taken.
At this point, we can filter out airbag controllers: it inputs information (the strength 
of an impact) and processes that information (is the impact strong enough to need the 
airbags?), but the output is an action (the airbags inflating), not information. These 
kinds of computers which control mechanical parts are focused on by mechanical 
engineering, not ICT.
NOTE: ‘Information’ and ‘data’ are often used interchangeably. There are different ways 
to distinguish them, depending on your definitions, but ‘data’ is usually a narrower 
concept than ‘information’ . It refers to the raw ‘facts and figures’ stored on a computer. 
For example, a printed-out photo contains ‘information’ but not ‘data.’ However, that 
same photo would be ‘data’ if it was stored on a computer. Communication
We primarily care about the communication of information.
• Computer-to-Computer communication:  How do different computers send  
information to each other? For example, phones send and receive sound to each 
other across large distances.
• Human-to-Computer communication: How can you interact with a computer 
and send it information? For example, by typing on a keyboard you can send 
text to a computer.
• Human-to-Computer-to-Human communication: How can you use computers  
to communicate with other people? For example, you write an essay on a 
computer (Human-to-Computer) and then your teacher reads it (Computer-
Human). You are communicating your ideas to your teacher through the 
computer.
This focus on communication means we care more about ‘the big picture’ than the 
small details."
Explain key concepts from ICT_LM_FINAL_SECTION_1_LV - Page 6,"5
MULTIMEDIA TOOLS AND APPLICATIONSSECTION 1
Technology
We are focused on ‘technology,’ i.e. human-made devices. When you do your maths 
homework you input, process, and output information. You also communicating that 
information when you give your answers to your teacher. But you are not technology, 
so you and your brain are not the kind of computer we study in ICT!
Activity 1.2
In your groups, review the uses for computers the class came up with in Activity 
1.1. Discuss which examples you think might be studied in ICT and why. Share 
your responses with the class.
GENERAL PURPOSE COMPUTERS
We’ve seen that there are many kinds of computers, but most of the time when people 
talk about a ‘computer,’ what they really mean is a ‘desktop (personal) computer’ , a.k.a. 
a PC, which looks like this:
Figure 1.1: A desktop computer
We will also focus on desktop computers for the time being. Why? Because desktop 
computers are the most instructive example of a whole group of computers: general 
purpose computers.
A general purpose computer can perform many different tasks, e.g. on the same 
computer you can:
• Write essays   • Design posters
• Surf the internet  • Play games
• Watch videos   • Bookkeeping"
Explain key concepts from ICT_LM_FINAL_SECTION_1_LV - Page 7,"6
MULTIMEDIA TOOLS AND APPLICATIONSSECTION 1
This is the opposite of a special purpose computer, which is designed to exclusively 
perform a specific task, e.g. an airbag computer only monitors impacts and inflates 
airbags.
The reason these general purpose computers can perform so many different tasks is 
because they are programmable. If you give one of these computers a program (i.e. a set 
of instructions), it will perform the task described by the program. More on that later.
Examples of general-purpose computers include desktop computers, laptops, and 
smartphones. These devices might look very different, but they are all made of similar 
parts (the main difference is the size!), and they can all perform similar tasks.
A computer can accept data (input), process the data, and then output the results.
What makes up a (general purpose) computer 
system?
Computer systems are made from hardware and software.
Computer Hardware Basics
Did you know?
The first point of physical contact you can have with any computer system is hardware.
Think of what you can see, hold, touch on a computer system. Computer hardware 
can range from smaller size to a huge size. Some of them function by connecting them 
to other components through a cord. In recent times, there are cordless ones that use 
wireless connectivity. [pop up]
Computer hardware is any physical device or component used in or with a computer 
system.
Classifications of computer hardware
Hardware can be classified as external or internal.
External hardware devices (peripherals)
External hardware devices are devices located outside the computer. Some of these 
external devices are called peripherals. A peripheral device is an auxiliary device that a 
computer uses to transfer information externally—for example: speakers, a computer 
mouse, and headphones.
Peripherals are connected to the computer system with cables using a special connection 
socket called a port (for example, a USB port) or using a wireless connection (Wi-Fi or 
Bluetooth).
External hardware devices fall under; input devices, output devices, processing devices, 
storage devices, and communication devices. These external devices are used in the 
creation of documents."
Explain key concepts from ICT_LM_FINAL_SECTION_1_LV - Page 8,"7
MULTIMEDIA TOOLS AND APPLICATIONSSECTION 1
Input device
An input device is a hardware device which is used to enter data into a computer for 
processing. Examples are: Keyboard, Mouse, joystick, microphone, scanner, camera, 
touch screen, web cam and track ball.
‘Input’ is the actual data that is sent into the computer system for processing.
Some examples of input include:
• Words written using a keyboard
• Screen clicks using a mouse
• Live video from a webcam
• Sound from someone using a microphone for voice control
• Movement in front of a motion sensor in an automatic door
Someone using a computer to create a poster in Word would use a keyboard and mouse 
to enter and manipulate text. A scanner could be used to enter and input a photograph 
for use in a poster.
 Figure 1.2: Examples of input devices
Output device
An output device is a hardware device that receives information from a computer 
and presents it in a human understandable form. Examples include: monitor, printer, 
scanner, speaker, touchscreen, projector, and headphones."
Explain key concepts from ICT_LM_FINAL_SECTION_1_LV - Page 9,"8
MULTIMEDIA TOOLS AND APPLICATIONSSECTION 1
Figure 1.3: Examples of output devices
A monitor is used to display text and images
A printer would be used to get a hard copy of text and images.
A touchscreen is classified as both an input and output device because it can be 
touched to ‘click’/tap parts of the screen (like a mouse) and display results as well (like 
a monitor).
The data that has been processed and sent out of the computer is called output.
Examples of output include:
• Sound coming from a mobile phone speaker
• Text appearing on a laptop screen or computer monitor
• Pictures printed from a printer
• Video shown on a tablet screen
Storage Device and Storage Media
In data storage, two pieces of equipment are normally involved. These are storage 
devices and storage media. The storage device writes or records unto the storage media 
whiles the storage media hold the data for future use.
Storage Medium (Media): This refers to the material or substance on which data is 
actually stored. It is the physical medium that holds the data in a form that can be read 
or written. The medium can vary based on the technology, such as magnetic, optical, 
or solid-state.
Storage Device: This is the hardware component or mechanism that reads from or 
writes data to a storage medium. It acts as an interface between the storage medium 
and thecomputer, enabling data to be accessed or stored on the medium."
Explain key concepts from ICT_LM_FINAL_SECTION_1_LV - Page 10,"9
MULTIMEDIA TOOLS AND APPLICATIONSSECTION 1
Examples
Storage Medium (Media):
• Magnetic tape (used in tape drives)
• Optical discs (such as CDs, DVDs, or Blu-ray discs)
• Flash memory (used in USB drives or SSDs)
• Hard disk platters (inside a hard drive)
Storage Device:
• Tape drive (reads/writes data on magnetic tapes)
• Optical drive (reads/writes data on CDs, DVDs, or Blu-ray discs)
• USB flash drive (contains both the flash memory and device in one unit)
• Hard disk drive (HDD) (reads/writes data on the magnetic platters) 
Figure 1.4: Examples of secondary storage devices and media
There are many types of secondary storage, and each one has its own special features. 
Because all devices are different, some work better for certain tasks than others. For 
example, a hard disk drive has a lot of space and good speed, making it great for storing 
programs and data you use every day. A USB pen drive (also called a USB Flash drive 
or memory stick) has less space but is small and easy to carry, making it perfect for 
moving files between computers.
Some secondary storage devices can be inside your computer (internal) or outside 
(external). The internal hard drive in your school’s computer can store things like a 
poster you made in class, and an external hard drive or USB pen drive can help you 
take that poster home.
Cloud storage is now very popular for storing computer files. It means saving data 
on remote servers (computers that store lots of files) in data centres, which you access 
through the internet. Cloud storage is flexible and scalable, meaning you can get more 
space if you need it, and you can access your files from anywhere with an internet"
