question_text,answer_text
Explain key concepts from LM ICT Sections 1-5 - Page 1,"SECTION 1: BASICS OF SPREADSHEETS 
ICTs In Society  
Organising, Managing and Presenting Information Using Essential Productivity Tools. 
 
INTRODUCTION  
This section is a continuation of year one activities, that is designed to help improve your 
understanding of the use of ICT in society. The section introduces you to spreadsheets 
which will enable you to understand how to use programs like Microsoft Excel  to work with 
data. You will understand basic parts like cells, rows, and columns, which make up the 
spreadsheet application layout.  
You will learn how to use formulas and functions to do calculations, such as adding up 
numbers or finding averages and also explore how to organise your data by sorting and 
filtering it. You also will learn how to use charts and graphs to help you visualis e your data, 
making it easier to see trends and comparisons.  
Learning spreadsheets is very essential in our everyday life, they help you manage 
information better and makes tasks like budgeting or project planning much easier. 
 
Key Ideas 
• Basic Functions and Formulas: This helps you perform calculations and analyse 
data quickly and easily in a spreadsheet. Just remember to start a formula or function 
with the equal sign (=), choose a function, and reference the cells you want to use. 
We will learn how to navigate and manipulate cells, rows, and columns, starting with 
simple formulas like SUM, AVERAGE, MIN, and MAX. as well as understand relative 
vs. absolute references (e.g., A1 vs. $A$1). 
• Data Organi sation: Organising data in Excel helps you keep things neat and find 
what you need quickly. The use of sorting, filtering, validation, tables, and grouping 
helps to manage your data effectively. 
• Formatting: Formatting in Excel helps make your data clearer and more visually 
appealing. It involves the use of font styles, colours, borders, and alignment to 
improve the overall look of your spreadsheet. Conditional formatting makes use of 
rules to format cells based on their values (e.g., highlighting duplicates). 
• Charts and Visuali sation: These tools in Excel help turn numbers into easy -to-
understand pictures. It involves using different types of charts to display your data 
clearly, making it easier to see trends and comparisons. 
• Data Analysis Tools: These tools help you understand and summari se your data in 
Excel. Tools like pivot tables, sorting, filtering, and functions are used to analyse 
information, and create charts to visualise your findings. 
 
Spreadsheet Application 
In year one, you were introduced to spreadsheet applications. You were taken through how 
to launch Microsoft Excel and also touched on the various components of the Microsoft 
Excel interface. In this lesson, we shall again revisit certain features of Microsoft Excel."
Explain key concepts from LM ICT Sections 1-5 - Page 2,"A spreadsheet application  is an application program designed for organi sing, analysing, 
and storing data in tabular either in rows or in columns. A spreadsheet application is mainly 
used for numerical analysis and data organisation.  Some common examples of 
spreadsheet application include; Microsoft Office Excel, Quattro Pro, VP plan, Smart 
Cracker, Lotus 1,2,3, Visi Calc, Super Calc, Corel Calculate, Open Office Calc, Libre Office 
Calc,  
 
Activity 1.1 Launching Microsoft Excel 
There are so many ways to launch Microsoft Excel, which includes the use of the icon on the 
taskbar, the use of the icon on the desktop, the application in the start menu, etc.  Use the 
skills gained in your year one on how to open a program to launch MS. Excel using the 
“Search bar”. 
 
After successfully launching the MS Excel, Figure1.1 will be displayed. 
Components of the Microsoft Excel Window/Interface 
 
Figure1.1: Microsoft Excel Window/Interface 
Some commonly used features of the excel window 
Table 1.1: Features of Excel Window 
S/N NAME FUNTION 
1. Auto Sum It is a special button found on the formula bar which is used for 
summation / addition of numbers automatically 
2.  Name Box It is the rectangular area at the top left corner of the worksheet in 
the Excel which displays the cell reference or the selected cell 
(Active cell). 
3.  Active Cell This is the selected cell ready to receive data."
Explain key concepts from LM ICT Sections 1-5 - Page 3,"4 Row It is the horizontal portion of a cell on a worksheet. Cells are 
represented by numbers. 
5 Column It is the vertical portion of a cell on a worksheet. Columns are 
represented by letters. 
6 Status bar It is the bar on top of the task bar. This bar displays the views and 
the zoom tool as well as the state of the workbook. 
7 Horizontal 
Scroll bar 
It is the bar that assists the user to view hidden portion of a page 
or file. The user should just press and hold down the left mouse 
button on the bar and move either in left or right direction with the 
intention to view a hidden portion of a page or file. 
8 Cell Cell is the area or region created by the intersection of rows and 
columns on a worksheet. In naming a cell, the column letter 
comes first followed by the row figure. Examples of cell names can 
be; A6, V1, B2, B3, C8, P12, etc.   
9 Vertical 
Scroll Bar 
It is the bar that assists the user to view a hidden portion of a page 
or document vertically. The user should just press and hold down 
the left mouse button on the bar and move either up or down with 
the intention to view a hidden portion of a file. 
10 Worksheet 
Tabs 
It is a small label at the bottom of an Excel workbook that 
represents a single worksheet. 
11. Formula 
Bar 
It is a space opposite the name box of the worksheet where you 
can see and enter data or formulas for the selected cell. 
 
Some terminologies in Excel 
Table 1.2: Excel Terminologies 
s/n Term Explanation. 
1 Worksheet It refers to the electronic page in a workbook made of cells. 
Worksheet is the page on which a user works at a given time. The 
page is made up of series of cells. 
2 Workbook It refers to an electronic file which contains two or more 
worksheet in them. 
3 Graph Graph is another important feature of Excel application. Graph s 
in Excel refers to a diagram or a chart which represents collected 
data or information diagrammatically or pictorially in excel 
window or worksheet. 
4 Range It refers to a group of specified or selected adjacent cells on a 
work sheet. It can also be explained as a sequence of adjacent 
cells on a worksheet. 
 
5 Cell 
Reference 
It refers to the unique name of a cell which is made of column 
letter and Row number. Example of cell reference are, A1, G4, 
K23, K5."
Explain key concepts from LM ICT Sections 1-5 - Page 4,"Workbooks  
A workbook in Excel is a collection of worksheets. This means that two or more worksheets 
forms a workbook. Each worksheet is like a page where you can enter and organie data, 
perform calculations, and create charts. Think of a workbook as a notebook, wher e each 
sheet is a different page for your information.  
 
 
Figure 1.2: Workbook 
 
From Figure 1.2: Workbook, it can be seen that, the window has three worksheets on the 
sheet tab. This means the whole window is a workbook. 
 
Activity 1.2: Comparing workbook and worksheet 
1. With your understanding on workbook, write two differences between workbook and 
worksheet in your own words.  
2. Share your response with a peer. 
 
Features of Excel Workbooks 
Workbooks in Microsoft Excel serve as essential tools for managing, organising, and 
analysing data across various professions and industries. Here are some key uses and 
purposes of workbooks in Excel.  
1. Workbooks help organi se and manage information, making it easy to find and work 
with data. 
2. Workbooks allow you to do advanced calculations and analyse data, helping to make 
better decisions and find useful insights. 
3. They help with tasks like planning budgets, predicting future costs, and creating 
financial models accurately."
Explain key concepts from LM ICT Sections 1-5 - Page 5,"4. Workbooks make reports and presentations clear and neat, making it easier to share 
and understand information. 
 
Uses of Excel Workbooks  
1. It is used for numerical analysis. 
2. Spreadsheet applications are used for accounting and financial analysis. 
3. Spreadsheet applications such as Microsoft Excel is used for sales management. 
4. They are used in tax preparation. 
5. Spreadsheet application is used for budgeting.  
6. Spreadsheet application such as Microsoft Excel is used for record keeping. 
7. Spreadsheet application is used for statistical analysis. 
8. Spreadsheet application is used for data analysis (examination result). 
 
How to create and manage workbooks  
Creating an Excel workbook is easy is fun to do! Now, let us look at how you can do it in 
simple steps: 
1. Start by opening the Excel program on your computer. 
2. Create a New Workbook: 
a. If you see a welcome screen, click on “Blank Workbook.” 
b. If you are already in Excel, go to the top left corner and click on “File,” then select 
“New” and choose “Blank Workbook.” 
3. Give your workbook a name (File name): 
a. Click on “File” again, then select “Save As.” 
b. Choose a location on your computer where you want to save it. To do this, click 
on browse to display the “Save As” dialogue box where you can choose a desired 
location. 
c. Type a name for your workbook in the ""File Name"" box and click “Save.” (see 
figure 1.4)"
Explain key concepts from LM ICT Sections 1-5 - Page 6,"Figure 1. 3: “Save As” Dialogue Box 
Note: Files in excel are by default named as book, so you can have book1, book2 etc 
depending on the number of new workbooks opened. When you save your file with a name, 
the default name changes to the new given name. 
4. Add Worksheets: By default, a new workbook will have one or more worksheets. If 
you need more, click the plus sign (+) next to the existing sheet tabs at the bottom of 
the workbook. See Figure1.4 
 
 
Figure 1.4: Sheet Tabs 
5. Start Entering Data : Click on any cell to start typing your data. You can use the 
formula bar to enter formulas if needed. 
6. You can press “Ctrl + S” or go to “File” and click “Save.” To save changes made. 
 
Activity 1.3: Creating a new workbook from start menu   
1. Click on the Start button to display the start menu 
2. Locate and click on Microsoft Excel to display the Ms. Excel dashboard or start -up 
screen 
3. Locate and click on “Blank Workbook” as shown in Figure 1.5 
 
 
Figure 1.5: MS Excel Dashboard or Start-up Screen 
 
4. The Microsoft Excel window will be displayed as shown if Figure 1.1. 
5. Enter data and save. 
 
Activity: 1.4: Create a Workbook in Excel from a Template  
This activity introduces you to another way of creating a workbook from some already 
existing templates or built-in template. 
 
Instructions: open a workbook and follow these steps to create a new workbook. 
 
Steps: 
1. Open Microsoft Excel"
Explain key concepts from LM ICT Sections 1-5 - Page 7,"2. Click on the ""File"" tab to open the backstage view. 
3. From the list of options, choose ""New"". This will take you to the available templates. 
4. Browse or Search for a Template. Excel will display a variety of templates, such as 
Budgets, Invoices, Calendars, Planners, etc. Example, “Simple invoice” in figure 1.8. 
 
Figure 1.6: Template window 
 
5. Click on the template that best fits your needs. A preview of the template will appear. 
6. After reviewing the template, click on ""Create"". to download the template’ 
7. Customise the Template by editing the workbook to suit your specific needs by 
entering your data, modifying formulas, or customising layouts. 
8. Once you've made your changes, save the workbook. 
 
Open an Existing Workbook in Excel  
A computer user can open an existing file from a current window of the same application. In 
this section, we shall look at how to open an existing Excel file from a current Excel window. 
 
Activity 1.5: Opening Existing file 
Now let us take this activity to open an existing file from a current excel window. 
Instruction: Follow the steps systematically and write down tour observation. 
 
Steps: 
1. Click on the “File” tab then, select “Open” to display the backstage view. 
2. Click on “Browse” command button from the open dialogue box as shown  
3. Find the storage location of the existing file. 
4. Select your desired file. Example, “SHS Year 2 LM” 
5. Click on the “open” button to open the existing file. (You see that, additional Excel 
window will be launched). 
6. Share your experience on this activity with a peer or group members. 
 
Saving a Newly Created Workbook"
Explain key concepts from LM ICT Sections 1-5 - Page 8,"In Excel, we can save a newly created workbook of excel file using several steps. You can 
save the file using keyboard shortcut (Ctrl +S) or using the “Save As” command button of the 
backstage view of the file tab. Though you can explore other ways of saving a newly created 
file, this lesson will take you through how to save Excel file using the “file” tab. 
 
Activity 1.6: Saving a Newly Created Workbook  
1. Click on the “File” menu. 
2. From the “Backstage” view, click on “Save As” command. 
3. Save your work in “2 Science 3” folder on the desktop 
4. Type your group name for the file in the file name box. 
5. Click on the “Save” button to save the document. 
 
Figure 1.7: Saving a workbook 
 
Inserting text in Spreadsheet 
Inserting text in a spreadsheet simply means placing or typing information such as letters, 
words, or numbers, data/time, currency, into specific cells within a worksheet. Each cell in 
a worksheet can hold different types of content 
 
Steps to Insert Text in a Spreadsheet 
Table 1.3: Inserting text in Excel 
SN. Main Point Explanation 
1 Open the Spreadsheet Launch Microsoft Excel  or Google Sheets  on any 
other example of spreadsheet application. 
2 Select a Cell Click on the cell where you want to insert the text. Cells 
are identified by their column letter and row number 
(e.g., A1, B2). 
3 Enter the Text: Type the text directly into the selected cell (active cell). 
The text will appear both in the cell and in the Formula 
Bar at the top of the spreadsheet."
Explain key concepts from LM ICT Sections 1-5 - Page 9,"4 Confirm Entry: 
 
After entering the text, press Enter or Tab to move to 
the next cell or click anywhere else on the sheet. The 
text is now inserted. 
 
 
Figure 1.8: Worksheet containing Data 
Observation 
It can be seen that the name of the selected cell “D4” which contains the data “AMA” has 
appeared in the name box while the content of the cell “AMA” has been displayed in the 
formula bar. 
 
How to Enter Numbers, Text, Date/time, Series Using AutoFill 
1. Entering Numbers:  
a. Single Number: Type the number in a cell (e.g., 1), then click and drag the small 
square (fill handle) at the bottom right corner of the cell down or across to fill 
adjacent cells with consecutive numbers. 
 
2. Entering Text 
a. Single Text Entry: Type a word or phrase in a cell (e.g., ""Apple""), then drag the fill 
handle to copy that text to adjacent cells. 
b. Repeating Text: If you want to repeat a word, type it in one cell and drag the fill 
handle to fill the adjacent cells. 
 
3. Entering Dates/Times 
a. Single Date/Time: Enter a date (e.g., 01/01/2024) or time (e.g., 12:00 PM), then 
drag the fill handle to fill with consecutive dates/times. 
b. Custom Series: If you want to create a series (e.g., days of the week), type the 
first few entries (e.g., ""Monday"", ""Tuesday"") to establish a pattern, then drag the 
fill handle. 
4. Entering a Series"
Explain key concepts from LM ICT Sections 1-5 - Page 10,"a. Custom Lists: To create a custom series (like months or quarters), type the first 
few entries (e.g., ""Q1"", ""Q2""), then select them and drag the fill handle to continue 
the series. 
b. AutoFill Options: After using AutoFill, a small icon appears. Click it to choose 
options like ""Fill Series,"" ""Fill Formatting Only,"" or ""Fill Without Formatting."" 
 
How to Edit and Format a Worksheet 
1. Editing Cells 
a. Click on the cell you want to edit. 
b. Double-click the cell or press F2 to start editing. You can change the text, 
numbers, or formulas. 
c. To the content of a cell, select the cell and press the Delete key. 
2. Formatting Cells: Select Cells: Click and drag to highlight the cells you want to 
format. 
a. Change Font: to change font Style and Size: Go to the Home tab and use the Font 
group to change the font type, size, and colour. 
3. Cell Background colour 
a. Fill colour: Click on the paint bucket icon in the Home tab to change the 
background colour of selected cells. 
4. Borders 
a. Add Borders: Use the Borders icon in the Home tab to add borders around cells. 
You can choose different styles. 
5.  Number Formatting 
a. Format Numbers: In the Home tab, use the Number group to format numbers as 
currency, percentages, dates, etc. 
6. Adjusting Column Width and Row Height 
a. Auto Fit: Move your mouse to the line between column letters or row numbers 
until it changes to a double arrow. Double-click to auto-fit the width or height. 
b. Manual Adjustment: Click and drag the line to set your preferred width or height. 
7. Merging Cells 
a. Merge Cells: Select the cells you want to merge, then click on the Merge & Canter 
button in the Home tab. This combines them into one larger cell. 
 
Insert and Delete Cells 
a. Insert a Row/Column: Right -click on a row number or column letter and select 
""Insert"" to add a new row or column. 
b. Delete a Row/Column: Right -click on the row or column and select ""Delete"" to 
remove it. 
 
Activity 1.7: Differentiating between “Name box” and “Formula bar” 
Steps:  
1. Reflect on what has been learned so far, 
2. Write a definition for both the name box and formula bar after your reflection in step 
1. 
3. Share what you wrote in step 2 with your peers."
