subject,exam_type,year,question_number,topic,question_text,answer_text,explanation,source_file
Computer Studies,Textbook Exercise,N/A,1,Computer Networking,What is the primary purpose of computer networks?,To facilitate communication and share resources among connected devices.,Computer networks are designed to enable communication and resource sharing among devices.,Computing-Section-3_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,2,Computer Networking,What are some examples of computer networks?,"Office network, school Wi-Fi, and ATM network.",These examples illustrate how computer networks are used in various settings.,Computing-Section-3_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,3,Computer Networking,What is a computer network?,A connection of two or more computers or computing devices.,A computer network is a collection of interconnected devices.,Computing-Section-3_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,4,Computer Networking,What are some components of a computer network?,"Hub, nodes, and network interface cards (NIC).",These components are essential for establishing and maintaining a computer network.,Computing-Section-3_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,5,Computer Networking,What is a stand-alone computer?,A computer that operates independently and is not connected to a network.,A stand-alone computer is not part of a network.,Computing-Section-3_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,6,Computer Networking,What is a computer area network?,"A type of network designed to connect computers within a limited area such as a building, campus, or small geographical area.",Computer area networks are used to connect devices within a specific area.,Computing-Section-3_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,7,Computer Networking,What is network topology?,"The physical and logical arrangement of different components (links, nodes, etc) in a computer network.",Network topology describes the structure of a computer network.,Computing-Section-3_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,8,Computer Networking,What is network architecture?,The design and structure of a computer network.,Network architecture refers to the overall design of a computer network.,Computing-Section-3_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,9,Computer Networking,What is the client-server model?,"Clients request services from centralised servers, ensuring easier management, security, and scalability.",The client-server model is a network architecture where clients request services from a central server.,Computing-Section-3_LV.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,10,Computer Networking,What is the peer-to-peer model?,An architecture where devices or nodes share resources and services directly without centralised control.,The peer-to-peer model is a network architecture where devices share resources directly.,Computing-Section-3_LV.pdf (Page 2)
Computer Networking,Textbook Exercise,N/A,9,Network Topology,"A network topology: The physical and logical arrangement of network elements (routers, switches, hub, cables etc.).",N/A,N/A,Computing-Section-3_LV.pdf (Page 3)
Computer Networking,Textbook Exercise,N/A,10,Cloud Networks,"The cloud networks: It involves a network of remote servers hosted on the internet to store, manage, and process data, rather than a local server or a personal computer.",N/A,N/A,Computing-Section-3_LV.pdf (Page 3)
Computer Networking,Textbook Exercise,N/A,11,OSI Model,The OSI model: It is a set of rules that explains the process of transmitting data between network devices.,N/A,N/A,Computing-Section-3_LV.pdf (Page 3)
Computer Networking,Textbook Exercise,N/A,12,Wireless Network,A wireless network or wireless data connection refers to the transfer of data between devices without the use of physical cables.,N/A,N/A,Computing-Section-3_LV.pdf (Page 3)
Computer Networking,Textbook Exercise,N/A,13,Wired Network,A wired network or wired data connection refers to the transfer of data between devices with the help of physical cables.,N/A,N/A,Computing-Section-3_LV.pdf (Page 3)
Computer Networking,Textbook Exercise,N/A,1,Advantages of Computer Networking,"Computer networking offers numerous benefits, which have significantly transformed how we communicate, access information, and conduct business. Some of the key advantages of computer networking include:",N/A,N/A,Computing-Section-3_LV.pdf (Page 3)
Computer Networking,Textbook Exercise,N/A,2,Resource Sharing,"One of the primary benefits of networking is the ability to share hardware resources (e.g., printers, scanners, storage devices) and software applications among multiple users. This reduces costs and increases efficiency as each device does not need to have dedicated resources.",N/A,N/A,Computing-Section-3_LV.pdf (Page 3)
Computer Networking,Textbook Exercise,N/A,3,Data Sharing and Collaboration,"Networking enables seamless sharing of data and files between users, facilitating collaboration on projects and tasks. This is particularly useful in business settings where teams need to work together on documents and presentations.",N/A,N/A,Computing-Section-3_LV.pdf (Page 3)
Computer Networking,Textbook Exercise,N/A,4,Shared Internet Access,"Networking allows multiple devices to share a single internet connection, making it a cost-effective and convenient way for businesses and households to provide internet access to all connected devices.",N/A,N/A,Computing-Section-3_LV.pdf (Page 3)
Computer Networking,Textbook Exercise,N/A,5,Centralised Management,"In a business networked environment, system administrators can manage and monitor multiple devices and users from a central location. This centralised management simplifies tasks like software updates, security configurations, and user permissions.",N/A,N/A,Computing-Section-3_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,1,Boolean Algebra,Boolean logic is a way of making decisions using simple statements that are either true or false.,N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 1)
Computing,Textbook Exercise,N/A,1,Boolean Algebra,Logic gates are tiny parts inside a computer that make decisions based on the input they receive.,N/A,N/A,YEAR 2 LM Computing Section 1.pdf (Page 1)
